"Method","DupRate","LossRate","InputType","Replicate","Error"
"MulRF","0",0.1,"Input: Est. (500bp)",1,0.117609510812908
"DupTree","0",0.1,"Input: Est. (500bp)",1,0.0938044643145986
"A-Pro","0",0.1,"Input: Est. (500bp)",1,0.0225762879103422
"MulRF","0.2",0.1,"Input: Est. (500bp)",1,0.128143832739443
"DupTree","0.2",0.1,"Input: Est. (500bp)",1,0.0695893629803322
"A-Pro","0.2",0.1,"Input: Est. (500bp)",1,0.0550398210808635
"MulRF","1",0.1,"Input: Est. (500bp)",1,0.153444446995854
"DupTree","1",0.1,"Input: Est. (500bp)",1,0.0765091995475814
"A-Pro","1",0.1,"Input: Est. (500bp)",1,0.0263878805935383
"MulRF","2",0.1,"Input: Est. (500bp)",1,0.108229171540588
"DupTree","2",0.1,"Input: Est. (500bp)",1,0.0811557900044136
"A-Pro","2",0.1,"Input: Est. (500bp)",1,0.0568534701690078
"MulRF","5",0.1,"Input: Est. (500bp)",1,0.171444089151919
"DupTree","5",0.1,"Input: Est. (500bp)",1,0.0638471546466462
"A-Pro","5",0.1,"Input: Est. (500bp)",1,0.0424991333391517
"MulRF","0",0.5,"Input: Est. (500bp)",1,0.110455655325204
"DupTree","0",0.5,"Input: Est. (500bp)",1,0.0554821805446409
"A-Pro","0",0.5,"Input: Est. (500bp)",1,0.0268339698854834
"MulRF","0.2",0.5,"Input: Est. (500bp)",1,0.152540650237352
"DupTree","0.2",0.5,"Input: Est. (500bp)",1,0.0558250775444321
"A-Pro","0.2",0.5,"Input: Est. (500bp)",1,0.0477634001709521
"MulRF","1",0.5,"Input: Est. (500bp)",1,0.162583544105291
"DupTree","1",0.5,"Input: Est. (500bp)",1,0.0868165709194727
"A-Pro","1",0.5,"Input: Est. (500bp)",1,0.0518711194489151
"MulRF","2",0.5,"Input: Est. (500bp)",1,0.140920436792076
"DupTree","2",0.5,"Input: Est. (500bp)",1,0.0756737271556631
"A-Pro","2",0.5,"Input: Est. (500bp)",1,0.0266026388388127
"MulRF","5",0.5,"Input: Est. (500bp)",1,0.139089042693377
"DupTree","5",0.5,"Input: Est. (500bp)",1,0.0999862548545934
"A-Pro","5",0.5,"Input: Est. (500bp)",1,0.0599140977673233
"MulRF","0",1,"Input: Est. (500bp)",1,0.171228017769754
"DupTree","0",1,"Input: Est. (500bp)",1,0.0599295556196012
"A-Pro","0",1,"Input: Est. (500bp)",1,0.0232892750110477
"MulRF","0.2",1,"Input: Est. (500bp)",1,0.132855182122439
"DupTree","0.2",1,"Input: Est. (500bp)",1,0.0557762503041886
"A-Pro","0.2",1,"Input: Est. (500bp)",1,0.0322199308499694
"MulRF","1",1,"Input: Est. (500bp)",1,0.12409831199795
"DupTree","1",1,"Input: Est. (500bp)",1,0.0659148532315157
"A-Pro","1",1,"Input: Est. (500bp)",1,0.0415553325135261
"MulRF","2",1,"Input: Est. (500bp)",1,0.157647701874375
"DupTree","2",1,"Input: Est. (500bp)",1,0.0726946721319109
"A-Pro","2",1,"Input: Est. (500bp)",1,0.0524179585464299
"MulRF","5",1,"Input: Est. (500bp)",1,0.176327299084514
"DupTree","5",1,"Input: Est. (500bp)",1,0.0786646527820267
"A-Pro","5",1,"Input: Est. (500bp)",1,0.0494868835434318
"MulRF","0",0,"Input: true",1,0.151831478346139
"DupTree","0",0,"Input: true",1,0.0978633590391837
"A-Pro","0",0,"Input: true",1,0.038279343675822
"MulRF","0.2",0,"Input: true",1,0.117581410501152
"DupTree","0.2",0,"Input: true",1,0.0694669540738687
"A-Pro","0.2",0,"Input: true",1,0.0473325776401907
"MulRF","1",0,"Input: true",1,0.112336184065789
"DupTree","1",0,"Input: true",1,0.0635698663187213
"A-Pro","1",0,"Input: true",1,0.0231450795568526
"MulRF","2",0,"Input: true",1,0.155200568120927
"DupTree","2",0,"Input: true",1,0.0739389613852836
"A-Pro","2",0,"Input: true",1,0.051092106346041
"MulRF","5",0,"Input: true",1,0.153839927408844
"DupTree","5",0,"Input: true",1,0.0686352612799965
"A-Pro","5",0,"Input: true",1,0.0215244942624122
"MulRF","0",0.1,"Input: true",1,0.152787075974047
"DupTree","0",0.1,"Input: true",1,0.0673391384771094
"A-Pro","0",0.1,"Input: true",1,0.0251678872574121
"MulRF","0.2",0.1,"Input: true",1,0.178385753389448
"DupTree","0.2",0.1,"Input: true",1,0.0800252513727173
"A-Pro","0.2",0.1,"Input: true",1,0.050159786939621
"MulRF","1",0.1,"Input: true",1,0.132757996208966
"DupTree","1",0.1,"Input: true",1,0.0974051759345457
"A-Pro","1",0.1,"Input: true",1,0.0310557381156832
"MulRF","2",0.1,"Input: true",1,0.16741834551096
"DupTree","2",0.1,"Input: true",1,0.0922118015238084
"A-Pro","2",0.1,"Input: true",1,0.0248182658385485
"MulRF","5",0.1,"Input: true",1,0.106135293226689
"DupTree","5",0.1,"Input: true",1,0.0918189258896746
"A-Pro","5",0.1,"Input: true",1,0.0556076618842781
"MulRF","0",0.5,"Input: true",1,0.167796253208071
"DupTree","0",0.5,"Input: true",1,0.0560513876494952
"A-Pro","0",0.5,"Input: true",1,0.0559074619039893
"MulRF","0.2",0.5,"Input: true",1,0.119715919531882
"DupTree","0.2",0.5,"Input: true",1,0.0676129749394022
"A-Pro","0.2",0.5,"Input: true",1,0.0472644726186991
"MulRF","1",0.5,"Input: true",1,0.145754825118929
"DupTree","1",0.5,"Input: true",1,0.0847649538656697
"A-Pro","1",0.5,"Input: true",1,0.0376276961993426
"MulRF","2",0.5,"Input: true",1,0.117439253497869
"DupTree","2",0.5,"Input: true",1,0.0907780475798063
"A-Pro","2",0.5,"Input: true",1,0.0335722464416176
"MulRF","5",0.5,"Input: true",1,0.151998812705278
"DupTree","5",0.5,"Input: true",1,0.0969378152978607
"A-Pro","5",0.5,"Input: true",1,0.042564496146515
"MulRF","0",1,"Input: true",1,0.142695035636425
"DupTree","0",1,"Input: true",1,0.0550722333951853
"A-Pro","0",1,"Input: true",1,0.0498726512305438
"MulRF","0.2",1,"Input: true",1,0.133019689489156
"DupTree","0.2",1,"Input: true",1,0.0731010525720194
"A-Pro","0.2",1,"Input: true",1,0.0250261143222451
"MulRF","1",1,"Input: true",1,0.1147062792629
"DupTree","1",1,"Input: true",1,0.064525858417619
"A-Pro","1",1,"Input: true",1,0.021953805508092
"MulRF","2",1,"Input: true",1,0.153462771978229
"DupTree","2",1,"Input: true",1,0.0629446174250916
"A-Pro","2",1,"Input: true",1,0.0217789892666042
"MulRF","5",1,"Input: true",1,0.142386854868382
"DupTree","5",1,"Input: true",1,0.0759036515955813
"A-Pro","5",1,"Input: true",1,0.0229712226334959
"MulRF","0",0,"Input: Est. (100bp)",2,0.16718142118305
"DupTree","0",0,"Input: Est. (100bp)",2,0.0780020842561498
"A-Pro","0",0,"Input: Est. (100bp)",2,0.0298190131038427
"MulRF","0.2",0,"Input: Est. (100bp)",2,0.121201424486935
"DupTree","0.2",0,"Input: Est. (100bp)",2,0.0515007474343292
"A-Pro","0.2",0,"Input: Est. (100bp)",2,0.024467049241066
"MulRF","1",0,"Input: Est. (100bp)",2,0.121202618516982
"DupTree","1",0,"Input: Est. (100bp)",2,0.0805963163380511
"A-Pro","1",0,"Input: Est. (100bp)",2,0.0420467179547995
"MulRF","2",0,"Input: Est. (100bp)",2,0.172149951159954
"DupTree","2",0,"Input: Est. (100bp)",2,0.0546796893700957
"A-Pro","2",0,"Input: Est. (100bp)",2,0.0309076483920217
"MulRF","5",0,"Input: Est. (100bp)",2,0.178851270750165
"DupTree","5",0,"Input: Est. (100bp)",2,0.0658265330828726
"A-Pro","5",0,"Input: Est. (100bp)",2,0.0495146184787154
"MulRF","0",0.1,"Input: Est. (100bp)",2,0.137322616185993
"DupTree","0",0.1,"Input: Est. (100bp)",2,0.0846961003728211
"A-Pro","0",0.1,"Input: Est. (100bp)",2,0.0460471180640161
"MulRF","0.2",0.1,"Input: Est. (100bp)",2,0.112187729347497
"DupTree","0.2",0.1,"Input: Est. (100bp)",2,0.0554551145527512
"A-Pro","0.2",0.1,"Input: Est. (100bp)",2,0.041647884696722
"MulRF","1",0.1,"Input: Est. (100bp)",2,0.176988714914769
"DupTree","1",0.1,"Input: Est. (100bp)",2,0.0855232481495477
"A-Pro","1",0.1,"Input: Est. (100bp)",2,0.0402103768475354
"MulRF","2",0.1,"Input: Est. (100bp)",2,0.132205867376179
"DupTree","2",0.1,"Input: Est. (100bp)",2,0.0556838056189008
"A-Pro","2",0.1,"Input: Est. (100bp)",2,0.0455719042569399
"MulRF","5",0.1,"Input: Est. (100bp)",2,0.123059142455459
"DupTree","5",0.1,"Input: Est. (100bp)",2,0.0550368792610243
"A-Pro","5",0.1,"Input: Est. (100bp)",2,0.0447929017618299
"MulRF","0",0.5,"Input: Est. (100bp)",2,0.138563408441842
"DupTree","0",0.5,"Input: Est. (100bp)",2,0.083709004195407
"A-Pro","0",0.5,"Input: Est. (100bp)",2,0.0282074958458543
"MulRF","0.2",0.5,"Input: Est. (100bp)",2,0.153950111046433
"DupTree","0.2",0.5,"Input: Est. (100bp)",2,0.0805322106578387
"A-Pro","0.2",0.5,"Input: Est. (100bp)",2,0.0579468558263034
"MulRF","1",0.5,"Input: Est. (100bp)",2,0.128151091076434
"DupTree","1",0.5,"Input: Est. (100bp)",2,0.0746755701373331
"A-Pro","1",0.5,"Input: Est. (100bp)",2,0.0290223956946284
"MulRF","2",0.5,"Input: Est. (100bp)",2,0.17350858785212
"DupTree","2",0.5,"Input: Est. (100bp)",2,0.0604532133322209
"A-Pro","2",0.5,"Input: Est. (100bp)",2,0.0352975549641997
"MulRF","5",0.5,"Input: Est. (100bp)",2,0.158271554261446
"DupTree","5",0.5,"Input: Est. (100bp)",2,0.0594809301313944
"A-Pro","5",0.5,"Input: Est. (100bp)",2,0.0455637085810304
"MulRF","0",1,"Input: Est. (100bp)",2,0.131617610771209
"DupTree","0",1,"Input: Est. (100bp)",2,0.0858589772949927
"A-Pro","0",1,"Input: Est. (100bp)",2,0.0400792323146015
"MulRF","0.2",1,"Input: Est. (100bp)",2,0.155860927589238
"DupTree","0.2",1,"Input: Est. (100bp)",2,0.0739306542905979
"A-Pro","0.2",1,"Input: Est. (100bp)",2,0.0321533437073231
"MulRF","1",1,"Input: Est. (100bp)",2,0.134273720700294
"DupTree","1",1,"Input: Est. (100bp)",2,0.0940795893548056
"A-Pro","1",1,"Input: Est. (100bp)",2,0.0407949713431299
"MulRF","2",1,"Input: Est. (100bp)",2,0.120868548564613
"DupTree","2",1,"Input: Est. (100bp)",2,0.0665011102566496
"A-Pro","2",1,"Input: Est. (100bp)",2,0.0248783012386411
"MulRF","5",1,"Input: Est. (100bp)",2,0.166554205026478
"DupTree","5",1,"Input: Est. (100bp)",2,0.0629749210667796
"A-Pro","5",1,"Input: Est. (100bp)",2,0.0276866636425257
"MulRF","0",0,"Input: Est. (500bp)",2,0.14374609252438
"DupTree","0",0,"Input: Est. (500bp)",2,0.0556511098751798
"A-Pro","0",0,"Input: Est. (500bp)",2,0.0511789105273783
"MulRF","0.2",0,"Input: Est. (500bp)",2,0.15064442878589
"DupTree","0.2",0,"Input: Est. (500bp)",2,0.0598770201322623
"A-Pro","0.2",0,"Input: Est. (500bp)",2,0.044390330510214
"MulRF","1",0,"Input: Est. (500bp)",2,0.131915185973048
"DupTree","1",0,"Input: Est. (500bp)",2,0.0929615884437226
"A-Pro","1",0,"Input: Est. (500bp)",2,0.0365951314475387
"MulRF","2",0,"Input: Est. (500bp)",2,0.158136203121394
"DupTree","2",0,"Input: Est. (500bp)",2,0.0596265633706935
"A-Pro","2",0,"Input: Est. (500bp)",2,0.0520873330160975
"MulRF","5",0,"Input: Est. (500bp)",2,0.147443652134389
"DupTree","5",0,"Input: Est. (500bp)",2,0.0877672074362636
"A-Pro","5",0,"Input: Est. (500bp)",2,0.0339532377664
"MulRF","0",0.1,"Input: Est. (500bp)",2,0.162823333702981
"DupTree","0",0.1,"Input: Est. (500bp)",2,0.0613033394096419
"A-Pro","0",0.1,"Input: Est. (500bp)",2,0.0313795226439834
"MulRF","0.2",0.1,"Input: Est. (500bp)",2,0.137726102210581
"DupTree","0.2",0.1,"Input: Est. (500bp)",2,0.0961080099106766
"A-Pro","0.2",0.1,"Input: Est. (500bp)",2,0.0406692465115339
"MulRF","1",0.1,"Input: Est. (500bp)",2,0.170558204744011
"DupTree","1",0.1,"Input: Est. (500bp)",2,0.0566352220135741
"A-Pro","1",0.1,"Input: Est. (500bp)",2,0.0592203027196228
"MulRF","2",0.1,"Input: Est. (500bp)",2,0.141315591540188
"DupTree","2",0.1,"Input: Est. (500bp)",2,0.0521551684825681
"A-Pro","2",0.1,"Input: Est. (500bp)",2,0.022218298856169
"MulRF","5",0.1,"Input: Est. (500bp)",2,0.127785970512778
"DupTree","5",0.1,"Input: Est. (500bp)",2,0.0650516434223391
"A-Pro","5",0.1,"Input: Est. (500bp)",2,0.0476318199001253
"MulRF","0",0.5,"Input: Est. (500bp)",2,0.169683473091573
"DupTree","0",0.5,"Input: Est. (500bp)",2,0.0773898269748315
"A-Pro","0",0.5,"Input: Est. (500bp)",2,0.0239589082170278
"MulRF","0.2",0.5,"Input: Est. (500bp)",2,0.113136897999793
"DupTree","0.2",0.5,"Input: Est. (500bp)",2,0.0999696474405937
"A-Pro","0.2",0.5,"Input: Est. (500bp)",2,0.0450802774727345
"MulRF","1",0.5,"Input: Est. (500bp)",2,0.177750050853938
"DupTree","1",0.5,"Input: Est. (500bp)",2,0.0993411779985763
"A-Pro","1",0.5,"Input: Est. (500bp)",2,0.0481881934963167
"MulRF","2",0.5,"Input: Est. (500bp)",2,0.15190544994548
"DupTree","2",0.5,"Input: Est. (500bp)",2,0.0542397011886351
"A-Pro","2",0.5,"Input: Est. (500bp)",2,0.0415458117984235
"MulRF","5",0.5,"Input: Est. (500bp)",2,0.13172676756978
"DupTree","5",0.5,"Input: Est. (500bp)",2,0.0737952606985346
"A-Pro","5",0.5,"Input: Est. (500bp)",2,0.0227110213041306
"MulRF","0",1,"Input: Est. (500bp)",2,0.131671415064484
"DupTree","0",1,"Input: Est. (500bp)",2,0.069904900889378
"A-Pro","0",1,"Input: Est. (500bp)",2,0.0594869044143706
"MulRF","0.2",1,"Input: Est. (500bp)",2,0.10437032872811
"DupTree","0.2",1,"Input: Est. (500bp)",2,0.0887572261504829
"A-Pro","0.2",1,"Input: Est. (500bp)",2,0.0514884657319635
"MulRF","1",1,"Input: Est. (500bp)",2,0.108057726584375
"DupTree","1",1,"Input: Est. (500bp)",2,0.0738508324371651
"A-Pro","1",1,"Input: Est. (500bp)",2,0.0588206354994327
"MulRF","2",1,"Input: Est. (500bp)",2,0.160339792165905
"DupTree","2",1,"Input: Est. (500bp)",2,0.0593874109094031
"A-Pro","2",1,"Input: Est. (500bp)",2,0.0411654399335384
"MulRF","5",1,"Input: Est. (500bp)",2,0.108287971597165
"DupTree","5",1,"Input: Est. (500bp)",2,0.0769923761137761
"A-Pro","5",1,"Input: Est. (500bp)",2,0.0523642445914447
"MulRF","0",0,"Input: true",2,0.162766021322459
"DupTree","0",0,"Input: true",2,0.0528369725099765
"A-Pro","0",0,"Input: true",2,0.0344287924468517
"MulRF","0.2",0,"Input: true",2,0.158351252153516
"DupTree","0.2",0,"Input: true",2,0.0683165309717879
"A-Pro","0.2",0,"Input: true",2,0.0528428374789655
"MulRF","1",0,"Input: true",2,0.112530948109925
"DupTree","1",0,"Input: true",2,0.0769808574579656
"A-Pro","1",0,"Input: true",2,0.0572771908342838
"MulRF","2",0,"Input: true",2,0.139383466299623
"DupTree","2",0,"Input: true",2,0.0612024093861692
"A-Pro","2",0,"Input: true",2,0.0381445307191461
"MulRF","5",0,"Input: true",2,0.157062320057303
"DupTree","5",0,"Input: true",2,0.0596365741686896
"A-Pro","5",0,"Input: true",2,0.0506684313341975
"MulRF","0",0.1,"Input: true",2,0.164224981833249
"DupTree","0",0.1,"Input: true",2,0.0550187502522022
"A-Pro","0",0.1,"Input: true",2,0.0468307806644589
"MulRF","0.2",0.1,"Input: true",2,0.12831888820976
"DupTree","0.2",0.1,"Input: true",2,0.0567109870491549
"A-Pro","0.2",0.1,"Input: true",2,0.0419220767635852
"MulRF","1",0.1,"Input: true",2,0.123671636432409
"DupTree","1",0.1,"Input: true",2,0.0635772239533253
"A-Pro","1",0.1,"Input: true",2,0.0417264060489833
"MulRF","2",0.1,"Input: true",2,0.108304535057396
"DupTree","2",0.1,"Input: true",2,0.0733057488221675
"A-Pro","2",0.1,"Input: true",2,0.0525527680572122
"MulRF","5",0.1,"Input: true",2,0.10278998432681
"DupTree","5",0.1,"Input: true",2,0.0824042770662345
"A-Pro","5",0.1,"Input: true",2,0.0397528162226081
"MulRF","0",0.5,"Input: true",2,0.149378821570426
"DupTree","0",0.5,"Input: true",2,0.0928609077236615
"A-Pro","0",0.5,"Input: true",2,0.0531420665606856
"MulRF","0.2",0.5,"Input: true",2,0.166724344734102
"DupTree","0.2",0.5,"Input: true",2,0.0924469042918645
"A-Pro","0.2",0.5,"Input: true",2,0.0582698581460863
"MulRF","1",0.5,"Input: true",2,0.155789901297539
"DupTree","1",0.5,"Input: true",2,0.0892856142367236
"A-Pro","1",0.5,"Input: true",2,0.0429041914455593
"MulRF","2",0.5,"Input: true",2,0.178228272385895
"DupTree","2",0.5,"Input: true",2,0.0561546330922283
"A-Pro","2",0.5,"Input: true",2,0.047773154694587
"MulRF","5",0.5,"Input: true",2,0.142082372810692
"DupTree","5",0.5,"Input: true",2,0.0634498466039077
"A-Pro","5",0.5,"Input: true",2,0.033229025118053
"MulRF","0",1,"Input: true",2,0.129617183879018
"DupTree","0",1,"Input: true",2,0.0928522317437455
"A-Pro","0",1,"Input: true",2,0.045002580974251
"MulRF","0.2",1,"Input: true",2,0.11833958722651
"DupTree","0.2",1,"Input: true",2,0.0646584071335383
"A-Pro","0.2",1,"Input: true",2,0.027599865803495
"MulRF","1",1,"Input: true",2,0.177397559545934
"DupTree","1",1,"Input: true",2,0.0886759866843931
"A-Pro","1",1,"Input: true",2,0.0294525380805135
"MulRF","2",1,"Input: true",2,0.149752183612436
"DupTree","2",1,"Input: true",2,0.0890091745415703
"A-Pro","2",1,"Input: true",2,0.033325902223587
"MulRF","5",1,"Input: true",2,0.133513271752745
"DupTree","5",1,"Input: true",2,0.0631985018029809
"A-Pro","5",1,"Input: true",2,0.059666818426922
"MulRF","0",0,"Input: Est. (100bp)",3,0.111505363490433
"DupTree","0",0,"Input: Est. (100bp)",3,0.0930687930434942
"A-Pro","0",0,"Input: Est. (100bp)",3,0.0404689858853817
"MulRF","0.2",0,"Input: Est. (100bp)",3,0.124649564344436
"DupTree","0.2",0,"Input: Est. (100bp)",3,0.0660461607505567
"A-Pro","0.2",0,"Input: Est. (100bp)",3,0.032799425823614
"MulRF","1",0,"Input: Est. (100bp)",3,0.115470294393599
"DupTree","1",0,"Input: Est. (100bp)",3,0.0622564233373851
"A-Pro","1",0,"Input: Est. (100bp)",3,0.0298873286880553
"MulRF","2",0,"Input: Est. (100bp)",3,0.138653413541615
"DupTree","2",0,"Input: Est. (100bp)",3,0.091754256200511
"A-Pro","2",0,"Input: Est. (100bp)",3,0.0212329618074
"MulRF","5",0,"Input: Est. (100bp)",3,0.169318665172905
"DupTree","5",0,"Input: Est. (100bp)",3,0.0918782244669274
"A-Pro","5",0,"Input: Est. (100bp)",3,0.0555420018360019
"MulRF","0",0.1,"Input: Est. (100bp)",3,0.177107466552407
"DupTree","0",0.1,"Input: Est. (100bp)",3,0.0602156590670347
"A-Pro","0",0.1,"Input: Est. (100bp)",3,0.0236479489505291
"MulRF","0.2",0.1,"Input: Est. (100bp)",3,0.124702946618199
"DupTree","0.2",0.1,"Input: Est. (100bp)",3,0.0899586986051872
"A-Pro","0.2",0.1,"Input: Est. (100bp)",3,0.0211478230264038
"MulRF","1",0.1,"Input: Est. (100bp)",3,0.160865890029818
"DupTree","1",0.1,"Input: Est. (100bp)",3,0.0836278883507475
"A-Pro","1",0.1,"Input: Est. (100bp)",3,0.0587457125913352
"MulRF","2",0.1,"Input: Est. (100bp)",3,0.143014174643904
"DupTree","2",0.1,"Input: Est. (100bp)",3,0.0735841578338295
"A-Pro","2",0.1,"Input: Est. (100bp)",3,0.0458338253758848
"MulRF","5",0.1,"Input: Est. (100bp)",3,0.122577473390847
"DupTree","5",0.1,"Input: Est. (100bp)",3,0.097828817286063
"A-Pro","5",0.1,"Input: Est. (100bp)",3,0.0480320577695966
"MulRF","0",0.5,"Input: Est. (100bp)",3,0.178167919702828
"DupTree","0",0.5,"Input: Est. (100bp)",3,0.085898596548941
"A-Pro","0",0.5,"Input: Est. (100bp)",3,0.0558217732142657
"MulRF","0.2",0.5,"Input: Est. (100bp)",3,0.162855026740581
"DupTree","0.2",0.5,"Input: Est. (100bp)",3,0.0850042395759374
"A-Pro","0.2",0.5,"Input: Est. (100bp)",3,0.0281935278419405
"MulRF","1",0.5,"Input: Est. (100bp)",3,0.12164358979091
"DupTree","1",0.5,"Input: Est. (100bp)",3,0.075274917553179
"A-Pro","1",0.5,"Input: Est. (100bp)",3,0.034588983533904
"MulRF","2",0.5,"Input: Est. (100bp)",3,0.179298924468458
"DupTree","2",0.5,"Input: Est. (100bp)",3,0.0979783573653549
"A-Pro","2",0.5,"Input: Est. (100bp)",3,0.0250648923963308
"MulRF","5",0.5,"Input: Est. (100bp)",3,0.172424766533077
"DupTree","5",0.5,"Input: Est. (100bp)",3,0.0581643006647937
"A-Pro","5",0.5,"Input: Est. (100bp)",3,0.0375570818316191
"MulRF","0",1,"Input: Est. (100bp)",3,0.135984198730439
"DupTree","0",1,"Input: Est. (100bp)",3,0.0669095687102527
"A-Pro","0",1,"Input: Est. (100bp)",3,0.0320983116608113
"MulRF","0.2",1,"Input: Est. (100bp)",3,0.127145006414503
"DupTree","0.2",1,"Input: Est. (100bp)",3,0.0656267607933842
"A-Pro","0.2",1,"Input: Est. (100bp)",3,0.0497647144831717
"MulRF","1",1,"Input: Est. (100bp)",3,0.166525487843901
"DupTree","1",1,"Input: Est. (100bp)",3,0.0799015988712199
"A-Pro","1",1,"Input: Est. (100bp)",3,0.042836214452982
"MulRF","2",1,"Input: Est. (100bp)",3,0.122083973810077
"DupTree","2",1,"Input: Est. (100bp)",3,0.0815355041180737
"A-Pro","2",1,"Input: Est. (100bp)",3,0.0503303113207221
"MulRF","5",1,"Input: Est. (100bp)",3,0.125738043021411
